MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2024-2025_Bournemouth_Nott'm Forest,2024-2025,23,1/25/2025,15:00,Bournemouth,Nott'm Forest,,,,,,,C Pawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brighton_Everton,2024-2025,23,1/25/2025,15:00,Brighton,Everton,,,,,,,T Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Liverpool_Ipswich,2024-2025,23,1/25/2025,15:00,Liverpool,Ipswich,,,,,,,M Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Southampton_Newcastle,2024-2025,23,1/25/2025,15:00,Southampton,Newcastle,,,,,,,S Barrott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Wolves_Arsenal,2024-2025,23,1/25/2025,15:00,Wolves,Arsenal,,,,,,,M Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Man City_Chelsea,2024-2025,23,1/25/2025,17:30,Man City,Chelsea,,,,,,,J Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Crystal Palace_Brentford,2024-2025,23,1/26/2025,14:00,Crystal Palace,Brentford,,,,,,,T Harrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Tottenham_Leicester,2024-2025,23,1/26/2025,14:00,Tottenham,Leicester,,,,,,,R Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Aston Villa_West Ham,2024-2025,23,1/26/2025,16:30,Aston Villa,West Ham,,,,,,,P Bankes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Fulham_Man United,2024-2025,23,1/26/2025,19:00,Fulham,Man United,,,,,,,A Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Nott'm Forest_Brighton,2024-2025,24,2/1/2025,12:30,Nott'm Forest,Brighton,,,,,,,S Hooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Bournemouth_Liverpool,2024-2025,24,2/1/2025,15:00,Bournemouth,Liverpool,,,,,,,D England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Everton_Leicester,2024-2025,24,2/1/2025,15:00,Everton,Leicester,,,,,,,D Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Ipswich_Southampton,2024-2025,24,2/1/2025,15:00,Ipswich,Southampton,,,,,,,M Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Newcastle_Fulham,2024-2025,24,2/1/2025,15:00,Newcastle,Fulham,,,,,,,C Kavanagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Wolves_Aston Villa,2024-2025,24,2/1/2025,17:30,Wolves,Aston Villa,,,,,,,A Madley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brentford_Tottenham,2024-2025,24,2/2/2025,14:00,Brentford,Tottenham,,,,,,,J Gillett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Man United_Crystal Palace,2024-2025,24,2/2/2025,14:00,Man United,Crystal Palace,,,,,,,J Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Arsenal_Man City,2024-2025,24,2/2/2025,16:30,Arsenal,Man City,,,,,,,P Bankes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Chelsea_West Ham,2024-2025,24,2/3/2025,20:00,Chelsea,West Ham,,,,,,,S Attwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Everton_Liverpool,2024-2025,15,2/12/2025,19:30,Everton,Liverpool,,,,,,,M Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brighton_Chelsea,2024-2025,25,2/14/2025,20:00,Brighton,Chelsea,,,,,,,K Kavanagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Leicester_Arsenal,2024-2025,25,2/15/2025,12:30,Leicester,Arsenal,,,,,,,S Barrott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Aston Villa_Ipswich,2024-2025,25,2/15/2025,15:00,Aston Villa,Ipswich,,,,,,,R Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Fulham_Nott'm Forest,2024-2025,25,2/15/2025,15:00,Fulham,Nott'm Forest,,,,,,,T Bramall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Man City_Newcastle,2024-2025,25,2/15/2025,15:00,Man City,Newcastle,,,,,,,A Madley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Southampton_Bournemouth,2024-2025,25,2/15/2025,15:00,Southampton,Bournemouth,,,,,,,J Gillett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_West Ham_Brentford,2024-2025,25,2/15/2025,15:00,West Ham,Brentford,,,,,,,D England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Crystal Palace_Everton,2024-2025,25,2/15/2025,17:30,Crystal Palace,Everton,,,,,,,A Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Liverpool_Wolves,2024-2025,25,2/16/2025,14:00,Liverpool,Wolves,,,,,,,S Hooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Tottenham_Man United,2024-2025,25,2/16/2025,16:30,Tottenham,Man United,,,,,,,P Bankes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Aston Villa_Liverpool,2024-2025,29,2/19/2025,19:30,Aston Villa,Liverpool,,,,,,,C Pawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Leicester_Brentford,2024-2025,26,2/21/2025,20:00,Leicester,Brentford,,,,,,,T Harrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Everton_Man United,2024-2025,26,2/22/2025,12:30,Everton,Man United,,,,,,,A Madley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Arsenal_West Ham,2024-2025,26,2/22/2025,15:00,Arsenal,West Ham,,,,,,,C Pawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Bournemouth_Wolves,2024-2025,26,2/22/2025,15:00,Bournemouth,Wolves,,,,,,,M Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Fulham_Crystal Palace,2024-2025,26,2/22/2025,15:00,Fulham,Crystal Palace,,,,,,,R Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Ipswich_Tottenham,2024-2025,26,2/22/2025,15:00,Ipswich,Tottenham,,,,,,,T Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Southampton_Brighton,2024-2025,26,2/22/2025,15:00,Southampton,Brighton,,,,,,,D Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Aston Villa_Chelsea,2024-2025,26,2/22/2025,17:30,Aston Villa,Chelsea,,,,,,,M Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Newcastle_Nott'm Forest,2024-2025,26,2/23/2025,14:00,Newcastle,Nott'm Forest,,,,,,,J Gillett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Man City_Liverpool,2024-2025,26,2/23/2025,16:30,Man City,Liverpool,,,,,,,A Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brighton_Bournemouth,2024-2025,27,2/25/2025,19:30,Brighton,Bournemouth,,,,,,,M Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Crystal Palace_Aston Villa,2024-2025,27,2/25/2025,19:30,Crystal Palace,Aston Villa,,,,,,,S Barrott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Wolves_Fulham,2024-2025,27,2/25/2025,19:30,Wolves,Fulham,,,,,,,P Bankes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Chelsea_Southampton,2024-2025,27,2/25/2025,20:15,Chelsea,Southampton,,,,,,,T Bramall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brentford_Everton,2024-2025,27,2/26/2025,19:30,Brentford,Everton,,,,,,,S Hooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Man United_Ipswich,2024-2025,27,2/26/2025,19:30,Man United,Ipswich,,,,,,,D England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Nott'm Forest_Arsenal,2024-2025,27,2/26/2025,19:30,Nott'm Forest,Arsenal,,,,,,,A Madley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Tottenham_Man City,2024-2025,27,2/26/2025,19:30,Tottenham,Man City,,,,,,,J Gillett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Liverpool_Newcastle,2024-2025,27,2/26/2025,20:15,Liverpool,Newcastle,,,,,,,C Kavanagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_West Ham_Leicester,2024-2025,27,2/27/2025,20:00,West Ham,Leicester,,,,,,,S Attwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Nott'm Forest_Man City,2024-2025,28,3/8/2025,12:30,Nott'm Forest,Man City,,,,,,,C Kavanagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brighton_Fulham,2024-2025,28,3/8/2025,15:00,Brighton,Fulham,,,,,,,S Barrott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Crystal Palace_Ipswich,2024-2025,28,3/8/2025,15:00,Crystal Palace,Ipswich,,,,,,,S Hooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Liverpool_Southampton,2024-2025,28,3/8/2025,15:00,Liverpool,Southampton,,,,,,,L Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brentford_Aston Villa,2024-2025,28,3/8/2025,17:30,Brentford,Aston Villa,,,,,,,J Gillett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Wolves_Everton,2024-2025,28,3/8/2025,20:00,Wolves,Everton,,,,,,,S Attwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Chelsea_Leicester,2024-2025,28,3/9/2025,14:00,Chelsea,Leicester,,,,,,,T Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Tottenham_Bournemouth,2024-2025,28,3/9/2025,14:00,Tottenham,Bournemouth,,,,,,,J Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Man United_Arsenal,2024-2025,28,3/9/2025,16:30,Man United,Arsenal,,,,,,,A Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_West Ham_Newcastle,2024-2025,28,3/10/2025,20:00,West Ham,Newcastle,,,,,,,M Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Everton_West Ham,2024-2025,29,3/15/2025,15:00,Everton,West Ham,,,,,,,D Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Ipswich_Nott'm Forest,2024-2025,29,3/15/2025,15:00,Ipswich,Nott'm Forest,,,,,,,M Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Man City_Brighton,2024-2025,29,3/15/2025,15:00,Man City,Brighton,,,,,,,S Hooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Southampton_Wolves,2024-2025,29,3/15/2025,15:00,Southampton,Wolves,,,,,,,R Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Bournemouth_Brentford,2024-2025,29,3/15/2025,17:30,Bournemouth,Brentford,,,,,,,C Pawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Arsenal_Chelsea,2024-2025,29,3/16/2025,13:30,Arsenal,Chelsea,,,,,,,C Kavanagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Fulham_Tottenham,2024-2025,29,3/16/2025,13:30,Fulham,Tottenham,,,,,,,A Madley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Leicester_Man United,2024-2025,29,3/16/2025,19:00,Leicester,Man United,,,,,,,T Bramall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Arsenal_Fulham,2024-2025,30,4/1/2025,19:45,Arsenal,Fulham,,,,,,,J Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Wolves_West Ham,2024-2025,30,4/1/2025,19:45,Wolves,West Ham,,,,,,,T Harrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Nott'm Forest_Man United,2024-2025,30,4/1/2025,20:00,Nott'm Forest,Man United,,,,,,,J Gillett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Bournemouth_Ipswich,2024-2025,30,4/2/2025,19:45,Bournemouth,Ipswich,,,,,,,R Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brighton_Aston Villa,2024-2025,30,4/2/2025,19:45,Brighton,Aston Villa,,,,,,,S Attwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Newcastle_Brentford,2024-2025,30,4/2/2025,19:45,Newcastle,Brentford,,,,,,,P Bankes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Southampton_Crystal Palace,2024-2025,30,4/2/2025,19:45,Southampton,Crystal Palace,,,,,,,A Madley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Liverpool_Everton,2024-2025,30,4/2/2025,20:00,Liverpool,Everton,,,,,,,S Barrott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Chelsea_Tottenham,2024-2025,30,4/3/2025,20:00,Chelsea,Tottenham,,,,,,,C Pawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Everton_Arsenal,2024-2025,31,4/5/2025,12:30,Everton,Arsenal,,,,,,,D England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Crystal Palace_Brighton,2024-2025,31,4/5/2025,15:00,Crystal Palace,Brighton,,,,,,,A Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Ipswich_Wolves,2024-2025,31,4/5/2025,15:00,Ipswich,Wolves,,,,,,,P Bankes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_West Ham_Bournemouth,2024-2025,31,4/5/2025,15:00,West Ham,Bournemouth,,,,,,,T Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Aston Villa_Nott'm Forest,2024-2025,31,4/5/2025,17:30,Aston Villa,Nott'm Forest,,,,,,,S Hooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brentford_Chelsea,2024-2025,31,4/6/2025,14:00,Brentford,Chelsea,,,,,,,M Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Fulham_Liverpool,2024-2025,31,4/6/2025,14:00,Fulham,Liverpool,,,,,,,C Kavanagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Tottenham_Southampton,2024-2025,31,4/6/2025,14:00,Tottenham,Southampton,,,,,,,M Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Man United_Man City,2024-2025,31,4/6/2025,16:30,Man United,Man City,,,,,,,J Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
